Date,Store,Product_Category,Region,Sales,Quantity
2023-01-11,Store_A,Electronics,East,1452.04,4
2023-01-11,Store_A,Clothing,West,752.79,4
2023-01-11,Store_A,Home & Garden,North,729.5,6
2023-01-11,Store_A,Sports,East,407.62,5
2023-01-11,Store_A,Food & Beverages,North,1235.46,5
2023-01-11,Store_B,Electronics,South,985.02,3
2023-01-11,Store_B,Clothing,North,626.6,3
2023-01-11,Store_B,Home & Garden,East,543.47,4
2023-01-11,Store_B,Sports,North,289.52,3
2023-01-11,Store_B,Food & Beverages,West,1134.41,4
2023-01-11,Store_C,Electronics,West,967.94,3
2023-01-11,Store_C,Clothing,East,552.41,3
2023-01-11,Store_C,Home & Garden,East,426.73,3
2023-01-11,Store_C,Sports,West,264.31,3
2023-01-11,Store_C,Food & Beverages,East,692.72,2
2023-01-12,Store_A,Electronics,South,2025.24,6
2023-01-12,Store_A,Clothing,East,858.54,5
2023-01-12,Store_A,Home & Garden,South,747.73,6
2023-01-12,Store_A,Sports,South,481.93,6
2023-01-12,Store_A,Food & Beverages,North,985.61,4
2023-01-12,Store_B,Electronics,North,1212.83,4
2023-01-12,Store_B,Clothing,West,786.03,4
2023-01-12,Store_B,Home & Garden,North,623.86,5
2023-01-12,Store_B,Sports,West,344.01,4
2023-01-12,Store_B,Food & Beverages,West,1319.54,5
2023-01-12,Store_C,Electronics,West,938.9,3
2023-01-12,Store_C,Clothing,West,452.71,2
2023-01-12,Store_C,Home & Garden,South,296.28,2
2023-01-12,Store_C,Sports,East,250.65,3
2023-01-12,Store_C,Food & Beverages,South,771.52,3
2023-01-13,Store_A,Electronics,East,2174.5,7
2023-01-13,Store_A,Clothing,North,822.2,5
2023-01-13,Store_A,Home & Garden,South,674.51,5
2023-01-13,Store_A,Sports,West,514.69,6
2023-01-13,Store_A,Food & Beverages,South,1410.66,5
2023-01-13,Store_B,Electronics,North,1434.42,4
2023-01-13,Store_B,Clothing,East,620.83,3
2023-01-13,Store_B,Home & Garden,North,680.35,5
2023-01-13,Store_B,Sports,East,356.57,4
2023-01-13,Store_B,Food & Beverages,East,962.09,4
2023-01-13,Store_C,Electronics,North,1002.24,3
2023-01-13,Store_C,Clothing,West,494.33,3
2023-01-13,Store_C,Home & Garden,North,404.62,3
2023-01-13,Store_C,Sports,South,256.09,3
2023-01-13,Store_C,Food & Beverages,West,933.39,3
2023-01-14,Store_A,Electronics,West,1530.34,5
2023-01-14,Store_A,Clothing,North,986.14,6
2023-01-14,Store_A,Home & Garden,South,519.61,4
2023-01-14,Store_A,Sports,South,374.5,4
2023-01-14,Store_A,Food & Beverages,West,1250.56,5
2023-01-14,Store_B,Electronics,North,1237.57,4
2023-01-14,Store_B,Clothing,West,709.44,4
2023-01-14,Store_B,Home & Garden,East,507.97,4
2023-01-14,Store_B,Sports,West,310.96,3
2023-01-14,Store_B,Food & Beverages,South,729.94,3
2023-01-14,Store_C,Electronics,North,890.48,2
2023-01-14,Store_C,Clothing,East,491.65,3
2023-01-14,Store_C,Home & Garden,North,404.5,3
2023-01-14,Store_C,Sports,North,190.83,2
2023-01-14,Store_C,Food & Beverages,North,752.51,3
2023-01-15,Store_A,Electronics,North,1289.22,4
2023-01-15,Store_A,Clothing,North,606.45,3
2023-01-15,Store_A,Home & Garden,East,431.56,3
2023-01-15,Store_A,Sports,South,437.12,5
2023-01-15,Store_A,Food & Beverages,West,1385.17,5
2023-01-15,Store_B,Electronics,South,921.05,3
2023-01-15,Store_B,Clothing,South,573.54,3
2023-01-15,Store_B,Home & Garden,South,320.78,2
2023-01-15,Store_B,Sports,North,310.87,3
2023-01-15,Store_B,Food & Beverages,West,840.17,3
2023-01-15,Store_C,Electronics,West,922.14,3
2023-01-15,Store_C,Clothing,West,455.36,2
2023-01-15,Store_C,Home & Garden,South,432.6,3
2023-01-15,Store_C,Sports,East,165.62,2
2023-01-15,Store_C,Food & Beverages,North,627.41,2
2023-01-16,Store_A,Electronics,North,1814.53,6
2023-01-16,Store_A,Clothing,East,1058.48,6
2023-01-16,Store_A,Home & Garden,West,709.98,5
2023-01-16,Store_A,Sports,North,510.07,6
2023-01-16,Store_A,Food & Beverages,East,1143.99,4
2023-01-16,Store_B,Electronics,North,1195.88,3
2023-01-16,Store_B,Clothing,North,562.28,3
2023-01-16,Store_B,Home & Garden,South,333.44,2
2023-01-16,Store_B,Sports,North,347.96,4
2023-01-16,Store_B,Food & Beverages,East,1118.1,4
2023-01-16,Store_C,Electronics,East,1036.28,3
2023-01-16,Store_C,Clothing,West,449.8,2
2023-01-16,Store_C,Home & Garden,West,209.25,1
2023-01-16,Store_C,Sports,North,290.13,3
2023-01-16,Store_C,Food & Beverages,West,742.82,3
2023-01-17,Store_A,Electronics,East,1627.82,5
2023-01-17,Store_A,Clothing,North,949.43,5
2023-01-17,Store_A,Home & Garden,South,873.14,7
2023-01-17,Store_A,Sports,East,485.37,6
2023-01-17,Store_A,Food & Beverages,West,1555.86,6
2023-01-17,Store_B,Electronics,North,1418.22,4
2023-01-17,Store_B,Clothing,North,676.71,4
2023-01-17,Store_B,Home & Garden,West,621.73,5
2023-01-17,Store_B,Sports,South,398.79,4
2023-01-17,Store_B,Food & Beverages,South,1018.98,4
2023-01-17,Store_C,Electronics,North,805.47,2
2023-01-17,Store_C,Clothing,West,569.87,3
2023-01-17,Store_C,Home & Garden,West,440.77,3
2023-01-17,Store_C,Sports,North,273.69,3
2023-01-17,Store_C,Food & Beverages,West,1012.89,4
2023-01-18,Store_A,Electronics,East,1470.34,4
2023-01-18,Store_A,Clothing,North,1118.13,6
2023-01-18,Store_A,Home & Garden,South,595.85,4
2023-01-18,Store_A,Sports,South,407.88,5
2023-01-18,Store_A,Food & Beverages,North,986.54,4
2023-01-18,Store_B,Electronics,North,1605.86,5
2023-01-18,Store_B,Clothing,West,501.79,3
2023-01-18,Store_B,Home & Garden,West,579.29,4
2023-01-18,Store_B,Sports,East,380.3,4
2023-01-18,Store_B,Food & Beverages,North,881.09,3
2023-01-18,Store_C,Electronics,North,1176.63,3
2023-01-18,Store_C,Clothing,East,491.65,3
2023-01-18,Store_C,Home & Garden,North,419.53,3
2023-01-18,Store_C,Sports,South,339.0,4
2023-01-18,Store_C,Food & Beverages,North,808.51,3
2023-01-19,Store_A,Electronics,West,1227.78,4
2023-01-19,Store_A,Clothing,West,997.44,6
2023-01-19,Store_A,Home & Garden,South,773.25,6
2023-01-19,Store_A,Sports,North,384.41,4
2023-01-19,Store_A,Food & Beverages,South,1275.63,5
2023-01-19,Store_B,Electronics,East,1209.88,4
2023-01-19,Store_B,Clothing,East,855.72,5
2023-01-19,Store_B,Home & Garden,East,472.43,3
2023-01-19,Store_B,Sports,West,305.77,3
2023-01-19,Store_B,Food & Beverages,North,1018.8,4
2023-01-19,Store_C,Electronics,West,1129.3,3
2023-01-19,Store_C,Clothing,West,475.27,2
2023-01-19,Store_C,Home & Garden,South,374.44,3
2023-01-19,Store_C,Sports,North,244.64,3
2023-01-19,Store_C,Food & Beverages,North,803.82,3
2023-01-20,Store_A,Electronics,East,1288.69,4
2023-01-20,Store_A,Clothing,North,826.61,5
2023-01-20,Store_A,Home & Garden,North,521.6,4
2023-01-20,Store_A,Sports,West,413.24,5
2023-01-20,Store_A,Food & Beverages,East,1289.7,5
2023-01-20,Store_B,Electronics,North,1295.69,4
2023-01-20,Store_B,Clothing,North,772.52,4
2023-01-20,Store_B,Home & Garden,East,539.25,4
2023-01-20,Store_B,Sports,North,406.76,5
2023-01-20,Store_B,Food & Beverages,East,1277.7,5
2023-01-20,Store_C,Electronics,South,985.13,3
2023-01-20,Store_C,Clothing,West,511.18,3
2023-01-20,Store_C,Home & Garden,East,513.4,4
2023-01-20,Store_C,Sports,East,252.28,3
2023-01-20,Store_C,Food & Beverages,North,858.72,3
2023-01-21,Store_A,Electronics,East,1450.05,4
2023-01-21,Store_A,Clothing,North,694.39,4
2023-01-21,Store_A,Home & Garden,East,588.52,4
2023-01-21,Store_A,Sports,East,385.25,4
2023-01-21,Store_A,Food & Beverages,North,1278.9,5
2023-01-21,Store_B,Electronics,East,1211.68,4
2023-01-21,Store_B,Clothing,North,512.1,3
2023-01-21,Store_B,Home & Garden,North,389.93,3
2023-01-21,Store_B,Sports,East,250.33,3
2023-01-21,Store_B,Food & Beverages,North,777.04,3
2023-01-21,Store_C,Electronics,North,413.23,1
2023-01-21,Store_C,Clothing,East,442.26,2
2023-01-21,Store_C,Home & Garden,East,394.18,3
2023-01-21,Store_C,Sports,West,210.72,2
2023-01-21,Store_C,Food & Beverages,North,632.8,2
2023-01-22,Store_A,Electronics,East,1938.77,6
2023-01-22,Store_A,Clothing,East,815.49,5
2023-01-22,Store_A,Home & Garden,East,663.77,5
2023-01-22,Store_A,Sports,East,387.51,4
2023-01-22,Store_A,Food & Beverages,South,1258.43,5
2023-01-22,Store_B,Electronics,South,1340.91,4
2023-01-22,Store_B,Clothing,East,686.07,4
2023-01-22,Store_B,Home & Garden,East,448.28,3
2023-01-22,Store_B,Sports,North,268.4,3
2023-01-22,Store_B,Food & Beverages,South,976.24,4
2023-01-22,Store_C,Electronics,South,850.58,2
2023-01-22,Store_C,Clothing,East,592.54,3
2023-01-22,Store_C,Home & Garden,North,357.4,2
2023-01-22,Store_C,Sports,West,272.29,3
2023-01-22,Store_C,Food & Beverages,North,676.26,2
2023-01-23,Store_A,Electronics,West,1323.94,4
2023-01-23,Store_A,Clothing,South,1080.75,6
2023-01-23,Store_A,Home & Garden,East,499.08,4
2023-01-23,Store_A,Sports,East,520.38,6
2023-01-23,Store_A,Food & Beverages,North,1855.06,7
2023-01-23,Store_B,Electronics,East,1101.83,3
2023-01-23,Store_B,Clothing,South,608.11,3
2023-01-23,Store_B,Home & Garden,West,572.43,4
2023-01-23,Store_B,Sports,West,404.65,5
2023-01-23,Store_B,Food & Beverages,East,1018.73,4
2023-01-23,Store_C,Electronics,North,1068.05,3
2023-01-23,Store_C,Clothing,East,593.02,3
2023-01-23,Store_C,Home & Garden,East,390.51,3
2023-01-23,Store_C,Sports,South,325.75,4
2023-01-23,Store_C,Food & Beverages,North,851.24,3
2023-01-24,Store_A,Electronics,North,1590.22,5
2023-01-24,Store_A,Clothing,North,1023.11,6
2023-01-24,Store_A,Home & Garden,North,656.84,5
2023-01-24,Store_A,Sports,South,373.96,4
2023-01-24,Store_A,Food & Beverages,South,1133.87,4
2023-01-24,Store_B,Electronics,North,1708.92,5
2023-01-24,Store_B,Clothing,West,683.17,4
2023-01-24,Store_B,Home & Garden,South,497.98,4
2023-01-24,Store_B,Sports,North,296.05,3
2023-01-24,Store_B,Food & Beverages,South,1084.22,4
2023-01-24,Store_C,Electronics,East,1061.64,3
2023-01-24,Store_C,Clothing,East,560.23,3
2023-01-24,Store_C,Home & Garden,West,425.98,3
2023-01-24,Store_C,Sports,East,356.82,4
2023-01-24,Store_C,Food & Beverages,South,876.79,3
2023-01-25,Store_A,Electronics,South,1939.13,6
2023-01-25,Store_A,Clothing,East,979.86,6
2023-01-25,Store_A,Home & Garden,East,565.96,4
2023-01-25,Store_A,Sports,West,343.72,4
2023-01-25,Store_A,Food & Beverages,North,1214.02,5
2023-01-25,Store_B,Electronics,East,1434.08,4
2023-01-25,Store_B,Clothing,North,539.21,3
2023-01-25,Store_B,Home & Garden,North,544.37,4
2023-01-25,Store_B,Sports,West,237.07,2
2023-01-25,Store_B,Food & Beverages,North,994.06,4
2023-01-25,Store_C,Electronics,North,1463.61,4
2023-01-25,Store_C,Clothing,South,510.48,3
2023-01-25,Store_C,Home & Garden,South,554.47,4
2023-01-25,Store_C,Sports,West,340.35,4
2023-01-25,Store_C,Food & Beverages,East,651.8,2
2023-01-26,Store_A,Electronics,West,1423.63,4
2023-01-26,Store_A,Clothing,South,720.92,4
2023-01-26,Store_A,Home & Garden,East,747.7,6
2023-01-26,Store_A,Sports,North,491.69,6
2023-01-26,Store_A,Food & Beverages,North,1332.8,5
2023-01-26,Store_B,Electronics,South,1197.82,3
2023-01-26,Store_B,Clothing,West,571.07,3
2023-01-26,Store_B,Home & Garden,West,591.16,4
2023-01-26,Store_B,Sports,East,359.67,4
2023-01-26,Store_B,Food & Beverages,South,1054.61,4
2023-01-26,Store_C,Electronics,South,1127.5,3
2023-01-26,Store_C,Clothing,East,611.04,3
2023-01-26,Store_C,Home & Garden,East,475.1,3
2023-01-26,Store_C,Sports,West,334.06,4
2023-01-26,Store_C,Food & Beverages,North,833.93,3
2023-01-27,Store_A,Electronics,South,1880.89,6
2023-01-27,Store_A,Clothing,West,803.35,5
2023-01-27,Store_A,Home & Garden,East,788.07,6
2023-01-27,Store_A,Sports,South,510.05,6
2023-01-27,Store_A,Food & Beverages,North,1530.17,6
2023-01-27,Store_B,Electronics,North,1322.14,4
2023-01-27,Store_B,Clothing,East,521.36,3
2023-01-27,Store_B,Home & Garden,West,626.34,5
2023-01-27,Store_B,Sports,South,457.44,5
2023-01-27,Store_B,Food & Beverages,South,1370.26,5
2023-01-27,Store_C,Electronics,North,963.72,3
2023-01-27,Store_C,Clothing,East,585.24,3
2023-01-27,Store_C,Home & Garden,North,573.82,4
2023-01-27,Store_C,Sports,East,256.07,3
2023-01-27,Store_C,Food & Beverages,South,773.87,3
2023-01-28,Store_A,Electronics,North,1720.96,5
2023-01-28,Store_A,Clothing,West,823.84,5
2023-01-28,Store_A,Home & Garden,West,545.66,4
2023-01-28,Store_A,Sports,South,404.27,5
2023-01-28,Store_A,Food & Beverages,West,1240.52,5
2023-01-28,Store_B,Electronics,South,1008.33,3
2023-01-28,Store_B,Clothing,East,615.63,3
2023-01-28,Store_B,Home & Garden,East,480.11,4
2023-01-28,Store_B,Sports,North,298.52,3
2023-01-28,Store_B,Food & Beverages,North,1085.52,4
2023-01-28,Store_C,Electronics,West,970.91,3
2023-01-28,Store_C,Clothing,East,498.99,3
2023-01-28,Store_C,Home & Garden,North,360.92,3
2023-01-28,Store_C,Sports,South,150.0,1
2023-01-28,Store_C,Food & Beverages,North,847.84,3
2023-01-29,Store_A,Electronics,North,1149.07,3
2023-01-29,Store_A,Clothing,South,567.58,3
2023-01-29,Store_A,Home & Garden,South,368.77,3
2023-01-29,Store_A,Sports,East,454.85,5
2023-01-29,Store_A,Food & Beverages,East,1277.56,5
2023-01-29,Store_B,Electronics,West,1256.64,4
2023-01-29,Store_B,Clothing,East,574.9,3
2023-01-29,Store_B,Home & Garden,South,500.32,4
2023-01-29,Store_B,Sports,East,323.78,4
2023-01-29,Store_B,Food & Beverages,East,994.88,4
2023-01-29,Store_C,Electronics,East,818.36,2
2023-01-29,Store_C,Clothing,South,431.4,2
2023-01-29,Store_C,Home & Garden,South,430.73,3
2023-01-29,Store_C,Sports,South,229.06,2
2023-01-29,Store_C,Food & Beverages,South,458.46,1
2023-01-30,Store_A,Electronics,North,1889.95,6
2023-01-30,Store_A,Clothing,West,922.77,5
2023-01-30,Store_A,Home & Garden,West,944.39,7
2023-01-30,Store_A,Sports,North,280.99,3
2023-01-30,Store_A,Food & Beverages,North,1293.41,5
2023-01-30,Store_B,Electronics,South,1325.4,4
2023-01-30,Store_B,Clothing,West,689.73,4
2023-01-30,Store_B,Home & Garden,West,584.87,4
2023-01-30,Store_B,Sports,West,434.77,5
2023-01-30,Store_B,Food & Beverages,East,1038.26,4
2023-01-30,Store_C,Electronics,South,1107.71,3
2023-01-30,Store_C,Clothing,West,421.32,2
2023-01-30,Store_C,Home & Garden,East,384.06,3
2023-01-30,Store_C,Sports,West,270.24,3
2023-01-30,Store_C,Food & Beverages,West,789.06,3
2023-01-31,Store_A,Electronics,West,1490.64,4
2023-01-31,Store_A,Clothing,West,943.29,5
2023-01-31,Store_A,Home & Garden,West,810.46,6
2023-01-31,Store_A,Sports,East,503.76,6
2023-01-31,Store_A,Food & Beverages,South,1243.6,5
2023-01-31,Store_B,Electronics,West,1221.91,4
2023-01-31,Store_B,Clothing,South,654.01,4
2023-01-31,Store_B,Home & Garden,South,603.39,5
2023-01-31,Store_B,Sports,East,380.39,4
2023-01-31,Store_B,Food & Beverages,East,840.78,3
2023-01-31,Store_C,Electronics,North,929.83,3
2023-01-31,Store_C,Clothing,North,619.02,3
2023-01-31,Store_C,Home & Garden,North,364.41,3
2023-01-31,Store_C,Sports,West,292.0,3
2023-01-31,Store_C,Food & Beverages,North,647.66,2
2023-02-01,Store_A,Electronics,East,999.23,3
2023-02-01,Store_A,Clothing,North,854.32,5
2023-02-01,Store_A,Home & Garden,East,694.91,5
2023-02-01,Store_A,Sports,East,489.98,6
2023-02-01,Store_A,Food & Beverages,West,1057.79,4
2023-02-01,Store_B,Electronics,South,1177.78,3
2023-02-01,Store_B,Clothing,South,799.66,4
2023-02-01,Store_B,Home & Garden,West,534.21,4
2023-02-01,Store_B,Sports,North,273.61,3
2023-02-01,Store_B,Food & Beverages,West,1416.62,5
2023-02-01,Store_C,Electronics,South,797.92,2
2023-02-01,Store_C,Clothing,West,450.03,2
2023-02-01,Store_C,Home & Garden,East,431.83,3
2023-02-01,Store_C,Sports,North,244.81,3
2023-02-01,Store_C,Food & Beverages,East,640.53,2
2023-02-02,Store_A,Electronics,East,1570.01,5
2023-02-02,Store_A,Clothing,South,1070.17,6
2023-02-02,Store_A,Home & Garden,North,538.79,4
2023-02-02,Store_A,Sports,West,558.18,6
2023-02-02,Store_A,Food & Beverages,West,1032.88,4
2023-02-02,Store_B,Electronics,East,1458.79,4
2023-02-02,Store_B,Clothing,East,960.59,6
2023-02-02,Store_B,Home & Garden,North,682.42,5
2023-02-02,Store_B,Sports,South,436.04,5
2023-02-02,Store_B,Food & Beverages,West,1053.16,4
2023-02-02,Store_C,Electronics,North,966.07,3
2023-02-02,Store_C,Clothing,East,544.49,3
2023-02-02,Store_C,Home & Garden,West,454.95,3
2023-02-02,Store_C,Sports,South,269.17,3
2023-02-02,Store_C,Food & Beverages,West,999.68,4
2023-02-03,Store_A,Electronics,East,1156.33,3
2023-02-03,Store_A,Clothing,West,918.71,5
2023-02-03,Store_A,Home & Garden,West,541.14,4
2023-02-03,Store_A,Sports,South,513.37,6
2023-02-03,Store_A,Food & Beverages,East,985.53,4
2023-02-03,Store_B,Electronics,North,1659.9,5
2023-02-03,Store_B,Clothing,East,750.57,4
2023-02-03,Store_B,Home & Garden,West,529.03,4
2023-02-03,Store_B,Sports,South,355.25,4
2023-02-03,Store_B,Food & Beverages,East,1012.31,4
2023-02-03,Store_C,Electronics,East,888.49,2
2023-02-03,Store_C,Clothing,West,582.71,3
2023-02-03,Store_C,Home & Garden,North,377.04,3
2023-02-03,Store_C,Sports,East,295.55,3
2023-02-03,Store_C,Food & Beverages,South,955.05,3
2023-02-04,Store_A,Electronics,South,1451.86,4
2023-02-04,Store_A,Clothing,East,832.81,5
2023-02-04,Store_A,Home & Garden,South,522.97,4
2023-02-04,Store_A,Sports,East,435.53,5
2023-02-04,Store_A,Food & Beverages,West,1043.08,4
2023-02-04,Store_B,Electronics,West,1244.54,4
2023-02-04,Store_B,Clothing,South,658.06,4
2023-02-04,Store_B,Home & Garden,East,408.61,3
2023-02-04,Store_B,Sports,West,295.19,3
2023-02-04,Store_B,Food & Beverages,East,737.51,3
2023-02-04,Store_C,Electronics,South,691.08,2
2023-02-04,Store_C,Clothing,South,452.41,2
2023-02-04,Store_C,Home & Garden,East,433.8,3
2023-02-04,Store_C,Sports,South,233.43,2
2023-02-04,Store_C,Food & Beverages,North,550.37,2
2023-02-05,Store_A,Electronics,South,1305.14,4
2023-02-05,Store_A,Clothing,East,631.48,3
2023-02-05,Store_A,Home & Garden,North,542.87,4
2023-02-05,Store_A,Sports,North,436.35,5
2023-02-05,Store_A,Food & Beverages,South,1317.19,5
2023-02-05,Store_B,Electronics,South,1298.17,4
2023-02-05,Store_B,Clothing,North,586.95,3
2023-02-05,Store_B,Home & Garden,South,422.36,3
2023-02-05,Store_B,Sports,South,258.66,3
2023-02-05,Store_B,Food & Beverages,South,791.25,3
